Gender,Age,Under30,SeniorCitizen,Married,Dependents,NumberofDependents,Latitude,Longitude,ReferredaFriend,NumberofReferrals,TenureinMonths,Offer,PhoneService,AvgMonthlyLongDistanceCharges,MultipleLines,InternetService,InternetType,AvgMonthlyGBDownload,OnlineSecurity,OnlineBackup,DeviceProtectionPlan,PremiumTechSupport,StreamingTV,StreamingMovies,StreamingMusic,UnlimitedData,Contract,PaperlessBilling,PaymentMethod,MonthlyCharge,StatusID,AvgRevenue,EngagementScore,ServiceCount,HighValueCustomer,Churn,Recommendation
1,78,0,1,0,0,0,34.02381,-118.156582,0,0,1,0,0,0.0,0,1,1,8,0,0,1,0,0,1,0,0,0,1,0,39.65,5112,19.825,39.65,1,1,1,Provide onboarding support and early engagement offers
0,74,0,1,1,1,1,34.044271,-118.185237,1,1,8,5,1,48.85,1,1,2,17,0,1,0,0,0,0,0,1,0,1,1,80.65,5006,70.36666666666666,645.2,2,1,1,Offer discount or cheaper plan options
1,71,0,1,0,1,3,34.108833,-118.229715,0,0,18,4,1,11.33,1,1,2,52,0,0,0,0,1,1,1,1,0,1,0,95.45,3106,92.23947368421052,1718.1000000000001,4,0,1,Offer discount or cheaper plan options
0,78,0,1,1,1,1,33.936291,-118.332639,1,1,25,3,1,19.76,0,1,2,12,0,1,1,0,1,1,0,1,0,1,0,98.5,5843,96.71153846153847,2462.5,4,1,1,Offer discount or cheaper plan options
0,80,0,1,1,1,1,33.972119,-118.020188,1,1,37,3,1,6.33,1,1,2,14,0,0,0,0,0,0,0,1,0,1,0,76.5,1342,75.47763157894737,2830.5,1,0,1,"Recommend service bundles (OTT, backup, etc.)"
0,72,0,1,0,1,1,33.989524,-118.089299,0,0,27,3,1,3.33,1,1,2,18,0,0,1,0,0,0,0,0,0,1,0,78.05,6748,76.26785714285714,2107.35,0,0,1,"Recommend service bundles (OTT, backup, etc.)"
0,76,0,1,1,1,2,33.79499,-118.065591,1,1,1,5,1,15.28,0,1,2,30,0,0,0,0,0,0,0,1,0,1,2,70.45,2901,35.225,70.45,1,0,1,Provide onboarding support and early engagement offers
1,66,0,1,1,0,0,34.168686,-118.057505,1,6,58,2,0,0.0,0,1,1,24,0,1,1,0,0,1,0,1,0,1,0,45.3,4077,44.93559322033898,2627.3999999999996,3,1,1,Encourage long-term contract with benefits
0,70,0,1,0,1,2,34.139402,-118.128658,0,0,15,4,1,44.07,1,1,2,19,0,0,0,0,0,0,0,1,0,1,2,74.45,6482,71.60625,1116.75,1,1,1,"Recommend service bundles (OTT, backup, etc.)"
0,77,0,1,0,1,2,34.159007,-118.087353,0,0,7,5,1,26.95,0,1,2,18,1,0,0,0,0,0,0,0,0,0,0,76.45,1677,62.95,535.15,1,0,1,"Recommend service bundles (OTT, backup, etc.)"
0,78,0,1,0,1,1,34.207295,-118.400022,0,0,11,4,1,11.59,0,1,2,29,0,1,0,0,1,1,0,0,0,1,0,95.0,5536,93.35833333333333,1045.0,3,1,1,Offer discount or cheaper plan options
1,65,0,1,0,0,0,34.097345,-117.906736,0,0,15,4,1,29.11,0,1,2,29,0,1,0,0,0,0,0,1,0,1,0,74.4,6569,67.14375,1116.0,2,0,1,Encourage long-term contract with benefits
1,77,0,1,1,0,0,34.074492,-118.01462,1,1,1,5,0,0.0,0,1,1,12,0,1,0,0,1,0,0,1,0,0,0,40.2,6749,20.1,40.2,3,1,1,Provide onboarding support and early engagement offers
1,67,0,1,0,0,0,34.038983,-117.991372,0,0,3,5,0,0.0,0,1,1,28,0,0,1,0,0,1,1,1,0,1,0,41.15,3277,33.05,123.44999999999999,3,0,1,Provide onboarding support and early engagement offers
1,68,0,1,0,0,0,33.976753,-117.897367,0,0,13,4,1,32.68,1,1,0,11,0,1,1,0,1,1,0,0,0,1,0,106.9,285,97.45,1389.7,3,0,1,Offer discount or cheaper plan options
0,68,0,1,0,0,0,34.074087,-117.605618,0,0,16,4,1,9.43,0,1,2,9,0,0,0,1,1,1,1,1,0,1,0,94.45,2556,88.89411764705882,1511.2,4,0,1,Offer discount or cheaper plan options
1,66,0,1,0,0,0,32.827184,-116.703729,0,0,8,0,1,1.78,0,1,2,7,0,1,0,0,0,0,0,1,0,1,0,74.5,3880,67.39444444444445,596.0,2,0,1,Encourage long-term contract with benefits
1,69,0,1,0,0,0,32.85723,-117.209774,0,0,24,3,1,30.87,1,1,2,15,0,0,0,0,0,0,0,1,0,1,0,76.1,1763,68.508,1826.3999999999999,1,0,1,"Recommend service bundles (OTT, backup, etc.)"
0,74,0,1,0,0,0,32.85723,-117.209774,0,0,4,5,1,31.61,1,1,2,2,0,0,0,0,1,1,0,1,0,1,0,95.45,3854,79.22,381.8,3,0,1,Provide onboarding support and early engagement offers
1,76,0,1,1,0,0,32.85723,-117.209774,1,2,32,3,1,47.34,1,1,2,10,0,0,0,0,0,0,0,1,0,1,0,74.9,1670,69.79848484848485,2396.8,1,0,1,"Recommend service bundles (OTT, backup, etc.)"
1,77,0,1,1,0,0,32.85723,-117.209774,1,1,24,3,1,16.1,0,1,0,12,0,0,1,0,1,1,1,1,0,1,0,93.15,969,89.242,2235.6000000000004,4,0,1,Offer discount or cheaper plan options
0,70,0,1,0,0,0,32.85723,-117.209774,0,0,54,2,1,12.08,1,1,1,5,1,1,0,1,1,1,1,1,1,0,0,82.45,867,79.09272727272727,4452.3,6,0,1,Offer discount or cheaper plan options
0,74,0,1,0,0,0,32.85723,-117.209774,0,0,2,5,1,13.17,0,1,2,10,0,0,0,0,0,0,0,1,0,1,0,70.35,6840,46.35,140.7,1,0,1,Provide onboarding support and early engagement offers
0,77,0,1,0,0,0,32.85723,-117.209774,0,0,21,0,0,0.0,0,1,0,8,1,0,0,0,1,0,0,1,0,1,0,41.9,1764,38.18636363636364,879.9,3,0,1,Encourage long-term contract with benefits
1,71,0,1,1,0,0,32.85723,-117.209774,0,0,27,0,0,0.0,0,1,0,13,1,0,0,0,0,0,0,0,0,0,1,30.75,1794,28.75357142857143,830.25,1,0,1,"Recommend service bundles (OTT, backup, etc.)"
1,79,0,1,1,0,0,32.85723,-117.209774,1,1,11,0,1,29.54,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,19.95,3848,17.895833333333332,219.45,0,1,1,"Recommend service bundles (OTT, backup, etc.)"
0,66,0,1,1,0,0,32.85723,-117.209774,1,2,55,2,1,42.82,1,1,2,27,0,1,1,0,0,0,0,0,0,1,0,85.45,3662,87.04821428571428,4699.75,1,1,1,Offer discount or cheaper plan options
1,77,0,1,0,0,0,32.85723,-117.209774,0,0,3,5,1,9.22,1,1,2,14,0,1,0,0,0,0,0,1,0,1,0,81.35,3016,58.425,244.04999999999998,2,0,1,Provide onboarding support and early engagement offers
0,80,0,1,0,0,0,33.53604,-116.119222,0,0,1,5,1,35.09,0,1,2,17,0,0,1,0,0,0,0,0,0,1,0,75.3,1094,37.65,75.3,0,0,1,Provide onboarding support and early engagement offers
0,77,0,1,0,0,0,34.004379,-117.447864,0,0,5,5,0,0.0,0,1,1,26,0,1,0,0,0,0,0,1,0,0,0,28.45,5546,21.84166666666667,142.25,2,0,1,Provide onboarding support and early engagement offers
0,77,0,1,0,0,0,33.644585,-116.871544,0,0,20,0,1,48.73,1,1,2,12,0,1,1,0,0,1,0,0,0,1,0,94.1,6098,84.87619047619049,1882.0,2,0,1,Offer discount or cheaper plan options
0,72,0,1,1,0,0,33.970661,-117.255039,1,4,5,5,1,45.76,1,1,2,22,0,0,0,0,0,0,0,1,0,1,0,74.35,4546,55.800000000000004,371.75,1,1,1,Provide onboarding support and early engagement offers
0,80,0,1,1,0,0,33.828289,-117.201666,1,2,27,0,1,7.02,0,1,0,25,1,0,0,0,0,0,0,1,0,1,0,75.2,3049,68.90535714285714,2030.4,2,0,1,Encourage long-term contract with benefits
0,74,0,1,0,0,0,33.848733,-117.788357,0,0,4,0,1,48.35,1,1,0,24,0,0,1,0,1,0,0,1,0,1,0,89.2,4565,69.24,356.8,2,1,1,Provide onboarding support and early engagement offers
0,68,0,1,0,0,0,33.924143,-117.79387,0,0,1,0,1,45.81,1,1,2,21,0,0,0,0,1,0,0,1,0,1,0,85.7,4700,42.85,85.7,2,0,1,Provide onboarding support and early engagement offers
0,78,0,1,1,0,0,33.884073,-117.732197,1,3,65,2,1,18.39,1,1,2,28,1,0,1,0,1,1,0,1,0,0,0,105.25,6205,102.82424242424241,6841.25,4,0,1,Offer discount or cheaper plan options
